,wine_id,wine_name,wine_avg_rating,wine_ratings_count,vintages_number,average_price
65,1098981,Pomerol,4.5,12214,6,562.58
66,3715,Monte Bello,4.5,11978,1,576.25
67,7971,Gran Reserva 890,4.5,11347,1,198.95
68,1107322,FAY Cabernet Sauvignon,4.5,10840,1,175.95
69,28214,5 Stelle Sfursat,4.5,10740,4,138.74
70,1107336,ARTEMIS Cabernet Sauvignon,4.4,81351,1,89.95
71,1139434,Tinto,4.4,65625,1,42.95
72,77172,Toro,4.4,60705,2,65.03
73,79262,Pauillac (Grand Cru Classé),4.4,55808,3,415.87
74,12393,Amarone della Valpolicella Classico,4.4,48329,2,49.08
75,1869,Malbec Argentino,4.4,47435,1,89.95
76,14362,Pauillac (Grand Cru Classé),4.4,47234,5,246.92
77,1135641,Alexander Valley Cabernet Sauvignon,4.4,46066,1,137.5
78,74346,Cos d'Estournel,4.4,43704,6,224.83
79,1125543,Pauillac (Grand Cru Classé),4.4,39731,3,515.46
80,1134803,Châteauneuf-du-Pape,4.4,38998,5,175.39
81,79762,Pauillac (Grand Cru Classé),4.4,37460,4,203.22
82,8305,Brut Cuvée Champagne Rosé,4.4,36681,1,72.0
83,1688,Castello della Sala Cervaro della Sala,4.4,30203,3,103.42
84,61744,Saint-Julien (Grand Cru Classé),4.4,29317,5,344.34
85,16578,Cabernet Sauvignon,4.4,28544,2,90.95
86,1868,Nicolás Catena Zapata,4.4,28227,1,84.0
87,81848,Saint-Julien (Grand Cru Classé),4.4,28094,6,413.61
88,82613,Pessac-Léognan (Grand Cru Classé de Graves),4.4,27316,3,130.69
89,6044826,Eight Years In The Desert,4.4,27195,1,64.35
90,9710,Brunello di Montalcino,4.4,25989,5,85.12
91,16778,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,24916,4,313.82
92,1211816,Brut Rosé Champagne,4.4,23241,1,81.5
93,1383553,Roda I Reserva Rioja,4.4,22749,2,50.47
94,1165708,Pieve Santa Restituta Brunello di Montalcino,4.4,21867,2,125.65
95,1148298,Brut Rosé Champagne,4.4,21147,1,49.61
96,1129440,Old Vines Primitivo di Manduria,4.4,20904,1,20.95
97,1926899,Mendoza,4.4,19849,2,99.78
98,1247692,Bramare Malbec Uco Valley,4.4,19752,1,60.2
99,1135215,Sauternes (Premier Grand Cru Classé),4.4,19239,2,115.45
100,1835,Amarone della Valpolicella Classico,4.4,18720,3,440.42
101,83594,Luce,4.4,17470,3,284.17
102,1268,St. Henri Shiraz,4.4,17326,2,132.23
103,6020,Pavillon Rouge du Château Margaux,4.4,16401,1,435.4
104,1153455,Gran Corte (VII),4.4,15016,1,64.7
105,82193,Turriga Isola dei Nuraghi,4.4,14641,1,94.95
106,1994112,Macán,4.4,14368,1,163.8
107,75978,Quinta da Leda Douro,4.4,14197,1,30.0
108,23793,Carruades de Lafite Pauillac,4.4,13866,4,691.68
109,76476,Belondrade y Lurton,4.4,13567,1,49.75
110,99572,Rioja Reserva,4.4,13544,1,69.94
111,768733,Pomerol,4.4,13504,2,309.98
112,2355320,Fusion V,4.4,12877,1,36.1
113,1138019,Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652,2,159.48
114,1882725,Evenstad Reserve Pinot Noir,4.4,11531,1,104.95
115,1789271,5 Puttonyos Aszú (Blue Label),4.4,11106,1,56.1
116,16414,Paleo Rosso,4.4,10940,2,146.85
117,82690,Saffredi,4.4,10499,2,126.0
118,81849,Pomerol,4.4,10374,3,454.96
119,82779,Corton-Charlemagne Grand Cru,4.4,10296,3,861.25
120,6331780,Guerriero della Terra,4.4,10185,2,26.68
121,21929,Costasera Amarone della Valpolicella Classico,4.3,93397,2,195.63
122,7103,Amarone della Valpolicella Classico,4.3,77515,1,49.8
123,22448,Le Serre Nuove,4.3,50411,1,55.95
124,12263,Ribera del Duero Reserva,4.3,37394,2,44.95
125,22685,Saint-Julien (Grand Cru Classé),4.3,37174,1,55.5
126,80472,Saint-Estèphe (Grand Cru Classé),4.3,35624,4,232.98
127,11604,Malleolus,4.3,34630,1,35.95
128,1115658,Saint-Julien (Grand Cru Classé),4.3,33618,2,173.6
129,79265,Saint-Julien (Grand Cru Classé),4.3,32627,2,154.98
130,1675,Pian delle Vigne Brunello di Montalcino,4.3,31363,2,77.15
131,8195,Amarone della Valpolicella Classico,4.3,27794,2,178.38
132,68884,Cabernet - Cabernet,4.3,27436,2,128.15
133,17656,Pessac-Léognan (Grand Cru Classé de Graves),4.3,25444,2,141.09
134,66164,Dagromis Barolo,4.3,20685,1,120.0
135,1697,Chardonnay,4.3,18694,1,78.95
136,15149,Bricco dell'Uccellone Barbera d'Asti,4.3,17625,1,59.9
137,1670059,Il Pino di Biserno,4.3,17566,2,90.0
138,1174845,Sauternes (Premier Grand Cru Classé),4.3,17293,2,62.81
139,1153702,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,17090,1,158.43
140,1921801,Macán Clásico,4.3,16525,1,56.0
141,2246136,Memorias,4.3,15980,1,29.95
142,4793,Mille E Una Notte,4.3,15865,1,59.95
